Uniprot Accession,Gene Name,Subcellular localization
Q13976,PRKG1,Cytosol
Q14061,COX17,Mitochondria
Q14141,SEPT6,Cytosol
Q14197,ICT1,Mitochondria
Q14332,FZD2,Plasma membrane
Q14554,PDIA5,ER
Q14596,NBR1,Cytosol
Q14669,TRIP12,Nucleus
Q14678,KANK1,Plasma membrane
Q14683,SMC1A,Nucleus
Q14699,RFTN1,Plasma membrane
Q14714,SSPN,Plasma membrane
Q15011,HERPUD1,ER
Q15029,EFTUD2,Nucleus
Q15031,LARS2,Mitochondria
Q15056,EIF4H,Cytosol
Q15070,OXA1L,Mitochondria
Q15084,PDIA6,ER
Q15149,PLEC,Cytosol
Q15181,PPA1,Cytosol
Q15223,PVRL1,Plasma membrane
Q15270,NKX1-1,Nucleus
P57721,PCBP3,Cytosol
Q15555,MAPRE2,Cytosol
Q15678,PTPN14,Cytosol
Q15813,TBCE,Cytosol
Q16204,CCDC6,Cytosol
Q16543,CDC37,Cytosol
Q16611,BAK1,Mitochondria
Q16635,TAZ,Cytosol
Q16706,MAN2A1,Golgi
Q16739,UGCG,Golgi
Q16740,CLPP,Mitochondria
Q16832,DDR2,Plasma membrane
Q16851,UGP2,Cytosol
Q1KMD3,HNRNPUL2,Nucleus
P01893,HLA-H,Plasma membrane
Q29980,MICB,Plasma membrane
Q29RF7,PDS5A,Nucleus
Q2T9J0,TYSND1,Peroxisome
Q2TAA5,ALG11,ER
Q32NB8,PGS1,Mitochondria
Q3KQU3,MAP7D1,Cytosol
Q3SXM5,HSDL1,Mitochondria
Q3T906,GNPTAB,Golgi
Q3V6T2,CCDC88A,Plasma membrane
Q3ZCQ8,TIMM50,Mitochondria
Q495W5,FUT11,Golgi
Q49B96,COX19,Cytosol
Q4G0N4,NADK2,Mitochondria
Q4J6C6,PREPL,Cytosol
Q4U2R6,MRPL51,Mitochondria
Q52LD8,RFTN2,Plasma membrane
Q53EU6,GPAT3,ER
Q53FP2,TMEM35,Peroxisome
Q9P0S3,ORMDL1,ER
Q53GA4,PHLDA2,Cytosol
Q53GQ0,HSD17B12,ER
Q53H12,AGK,Mitochondria
Q58FF8,HSP90AB2P,Cytosol
Q5I7T1,ALG10B,Plasma membrane
Q5H8A4,PIGG,ER
Q5HYK3,COQ5,Mitochondria
Q5JPE7,NOMO2,ER
Q5JPH6,EARS2,Mitochondria
Q5JRA6,MIA3,ER
Q5JRX3,PITRM1,Mitochondria
Q5JTD0,TJAP1,Golgi
Q5JTH9,RRP12,Nucleus
Q5JTZ9,AARS2,Mitochondria
Q5NDL2,EOGT,ER
Q5SNT2,TMEM201,Nucleus
Q5SRE5,NUP188,Nucleus
Q5SRI9,MANEA,Golgi
Q5SSJ5,HP1BP3,Nucleus
Q5ST30,VARS2,Mitochondria
Q5SW79,CEP170,Cytosol
Q5T0F9,CC2D1B,Nucleus
Q5T160,RARS2,Mitochondria
Q5T3U5,ABCC10,Plasma membrane
Q5T4B2,CERCAM,ER
Q5T653,MRPL2,Mitochondria
Q5TC12,ATPAF1,Mitochondria
Q5TEU4,NDUFAF5,Mitochondria
Q5VSL9,STRIP1,Cytosol
Q5VUM1,SDHAF4,Mitochondria
Q5VV42,CDKAL1,ER
Q5VW38,GPR107,Golgi
Q5VWZ2,LYPLAL1,Cytosol
Q643R3,LPCAT4,ER
Q6IN84,MRM1,Mitochondria
Q6KCM7,SLC25A25,Mitochondria
Q6NSJ5,LRRC8E,Plasma membrane
Q6NUK1,SLC25A24,Mitochondria
Q6NUK4,REEP3,ER
Q6NUM9,RETSAT,ER
Q6NUQ4,TMEM214,ER
Q6NVY1,HIBCH,Mitochondria
Q6P161,MRPL54,Mitochondria
Q6P1A2,LPCAT3,ER
Q6P2Q9,PRPF8,Nucleus
Q6P4A7,SFXN4,Mitochondria
Q6P4F2,FDX1L,Mitochondria
Q6P4Q7,CNNM4,Plasma membrane
Q6PI48,DARS2,Mitochondria
Q6PIU2,NCEH1,ER
Q6PKG0,LARP1,Dense cytosol
Q6UB28,METAP1D,Mitochondria
Q6UB35,MTHFD1L,Mitochondria
Q6UVY6,MOXD1,ER
Q6UWE0,LRSAM1,Cytosol
Q6UWS5,PET117,Mitochondria
Q6UX65,DRAM2,Lysosome
Q6UXN9,WDR82,Nucleus
Q6UXV4,APOOL,Mitochondria
Q6Y1H2,HACD2,ER
Q6Y288,B3GLCT,ER
Q70CQ3,USP30,Mitochondria
Q6PEY2,TUBA3E,Cytosol
Q7KZN9,COX15,Mitochondria
Q7L0Y3,TRMT10C,Mitochondria
Q7L2H7,EIF3M,Dense cytosol
Q7L5D6,GET4,Dense cytosol
Q7LGA3,HS2ST1,Golgi
Q7LGC8,CHST3,Golgi
Q7Z2K8,GPRIN1,Plasma membrane
Q7Z2W9,MRPL21,Mitochondria
Q7Z449,CYP2U1,ER
Q7Z478,DHX29,Cytosol
Q7Z4H8,KDELC2,ER
Q7Z6M4,MTERF4,Mitochondria
Q7Z7F7,MRPL55,Mitochondria
Q7Z7M9,GALNT5,Golgi
Q86SF2,GALNT7,Golgi
Q86SQ0,PHLDB2,Cytosol
Q86SR1,GALNT10,Golgi
Q86SX6,GLRX5,Mitochondria
Q86TS9,MRPL52,Mitochondria
P49753,ACOT2,Mitochondria
Q86U28,ISCA2,Mitochondria
Q86UL3,GPAT4,ER
Q86V21,AACS,Cytosol
Q86VD7,SLC25A42,Mitochondria
Q86WA8,LONP2,Peroxisome
Q86X29,LSR,Plasma membrane
Q86X52,CHSY1,Golgi
Q86X76,NIT1,Mitochondria
Q86XE3,MICU3,Mitochondria
Q86Y39,NDUFA11,Mitochondria
Q86Y56,DNAAF5,Cytosol
Q86YB8,ERO1B,ER
Q86YH6,PDSS2,Mitochondria
Q86YN1,DOLPP1,ER
Q8IUH4,ZDHHC13,Golgi
Q8IUW5,RELL1,Plasma membrane
Q8IVF7,FMNL3,Cytosol
Q8IVH4,MMAA,Mitochondria
Q8IVL6,P3H3,ER
Q8IVP5,FUNDC1,Mitochondria
Q8IW45,CARKD,Mitochondria
Q8IWA4,MFN1,Mitochondria
Q8IWF2,FOXRED2,ER
Q8IXB1,DNAJC10,ER
Q8IXM3,MRPL41,Mitochondria
Q8IXS6,PALM2,Plasma membrane
Q8IYT4,KATNAL2,Cytosol
Q8IZ21,PHACTR4,Cytosol
Q8IZL8,PELP1,Nucleus
Q8N0V3,RBFA,Mitochondria
Q8N163,CCAR2,Nucleus
Q8N183,NDUFAF2,Mitochondria
Q8N2G8,GHDC,Nucleus
Q8N2K1,UBE2J2,ER
Q8N442,GUF1,Mitochondria
Q8N4A0,GALNT4,Golgi
Q8N4Q1,CHCHD4,Mitochondria
Q8N4T8,CBR4,Mitochondria
Q8N556,AFAP1,Cytosol
Q8N5M1,ATPAF2,Mitochondria
Q8N5N7,MRPL50,Mitochondria
Q8N6G5,CSGALNACT2,Golgi
Q8N884,MB21D1,Cytosol
Q8N8Q8,COX18,Mitochondria
Q8N983,MRPL43,Mitochondria
Q8NAT1,POMGNT2,ER
Q8NAT2,TDRD5,Cytosol
Q8NBI6,XXYLT1,ER
Q8NBJ4,GOLM1,Golgi
Q8NBJ9,SIDT2,Lysosome
Q8NBK3,SUMF1,ER
Q8NBL1,POGLUT1,ER
Q8NBS9,TXNDC5,ER
Q8NBZ7,UXS1,Golgi
Q8NC60,NOA1,Mitochondria
Q8NCH0,CHST14,Golgi
Q8NCL4,GALNT6,Golgi
Q8NCN5,PDPR,Mitochondria
Q8NCW6,GALNT11,Golgi
Q8NDI1,EHBP1,Cytosol
Q8NE01,CNNM3,Plasma membrane
Q8NE86,MCU,Mitochondria
Q8NEY1,NAV1,Cytosol
Q8NEZ5,FBXO22,Cytosol
Q8NFP7,NUDT10,Cytosol
Q8NHH9,ATL2,ER
Q8NHP8,PLBD2,Lysosome
Q8NHS3,MFSD8,Lysosome
Q8NI60,ADCK3,Mitochondria
Q8TAA5,GRPEL2,Mitochondria
Q8TAA9,VANGL1,Plasma membrane
Q8TB37,NUBPL,Mitochondria
Q8TBA6,GOLGA5,Golgi
Q8TBP6,SLC25A40,Mitochondria
Q8TC07,TBC1D15,Cytosol
Q8TCC3,MRPL30,Mitochondria
Q8TCN5,ZNF507,Nucleus
Q8TCT7,SPPL2B,Golgi
Q8TD22,SFXN5,Mitochondria
Q8TDM6,DLG5,Plasma membrane
Q8TE68,EPS8L1,Cytosol
Q8TEQ8,PIGO,ER
Q8TER5,ARHGEF40,Cytosol
Q8WUK0,PTPMT1,Mitochondria
Q8WUW1,BRK1,Cytosol
Q8WVM0,TFB1M,Mitochondria
Q8WWB7,GLMP,Lysosome
Q8WWF8,CAPSL,Cytosol
Q8WWM9,CYGB,Cytosol
Q8WXA3,RUFY2,Nucleus
Q8WXE0,CASKIN2,Cytosol
Q92536,SLC7A6,Plasma membrane
Q92598,HSPH1,Dense cytosol
Q92604,LPGAT1,ER
Q92615,LARP4B,Cytosol
Q92620,DHX38,Nucleus
Q92667,AKAP1,Mitochondria
Q92685,ALG3,ER
Q92841,DDX17,Nucleus
Q92882,OSTF1,Cytosol
Q92888,ARHGEF1,Dense cytosol
Q92896,GLG1,Golgi
Q92968,PEX13,Peroxisome
P54792,DVL1P1,Cytosol
Q93009,USP7,Nucleus
Q93100,PHKB,Plasma membrane
Q969G6,RFK,Cytosol
Q969M1,TOMM40L,Mitochondria
Q96A35,MRPL24,Mitochondria
Q96A73,KIAA1191,Cytosol
Q96AE4,FUBP1,Nucleus
Q96AY3,FKBP10,ER
Q96B49,TOMM6,Mitochondria
Q96BI1,SLC22A18,Plasma membrane
Q96BR5,COA7,Mitochondria
Q96C01,FAM136A,Mitochondria
Q96C23,GALM,Cytosol
Q96C24,SYTL4,Plasma membrane
Q96CB9,NSUN4,Mitochondria
Q96CM8,ACSF2,Mitochondria
Q96CQ1,SLC25A36,Mitochondria
Q96CT7,CCDC124,Cytosol
Q96CU9,FOXRED1,Mitochondria
Q96D31,ORAI1,Plasma membrane
Q96DG6,CMBL,Cytosol
Q96DP5,MTFMT,Mitochondria
Q96DZ1,ERLEC1,ER
Q96E11,MRRF,Mitochondria
Q96E29,MTERF3,Mitochondria
Q96E52,OMA1,Mitochondria
Q96EH3,MALSU1,Mitochondria
Q96EK5,KIF1BP,Cytosol
Q96EL3,MRPL53,Mitochondria
Q96F07,CYFIP2,Cytosol
Q96F86,EDC3,Cytosol
Q96FJ2,DYNLL2,Cytosol
Q96G03,PGM2,Cytosol
Q96GW9,MARS2,Mitochondria
Q96H20,SNF8,Nucleus
Q96HE7,ERO1A,ER
Q96HP0,DOCK6,Cytosol
Q96HR9,REEP6,ER
Q96HS1,PGAM5,Mitochondria
Q96HY7,DHTKD1,Mitochondria
Q96I23,PYURF,Mitochondria
Q96I24,FUBP3,Nucleus
Q96I36,COX14,Mitochondria
Q96I59,NARS2,Mitochondria
Q96IG2,FBXL20,Cytosol
Q96IJ6,GMPPA,Cytosol
Q96IL0,APOPT1,Mitochondria
Q96J84,KIRREL,Plasma membrane
Q96JB2,COG3,Golgi
Q96JJ3,ELMO2,Cytosol
Q96JJ7,TMX3,ER
Q96KC8,DNAJC1,ER
Q96LT4,SAMD8,ER
Q96M27,PRRC1,Golgi
Q96M96,FGD4,Cytosol
Q96PE7,MCEE,Mitochondria
Q96PU5,NEDD4L,Cytosol
Q96QE5,TEFM,Mitochondria
Q96RP9,GFM1,Mitochondria
Q96RQ3,MCCC1,Mitochondria
Q96RR1,PEO1,Mitochondria
Q96SL1,DIRC2,Lysosome
Q96SQ9,CYP2S1,ER
Q99598,TSNAX,Golgi
Q99685,MGLL,Dense cytosol
Q99700,ATXN2,Cytosol
Q99714,HSD17B10,Mitochondria
Q99719,SEPT5,Cytosol
Q99735,MGST2,ER
Q99755,PIP5K1A,Cytosol
Q99757,TXN2,Mitochondria
Q99766,ATP5S,Mitochondria
Q99798,ACO2,Mitochondria
Q99836,MYD88,Dense cytosol
Q99943,AGPAT1,ER
Q9BQ48,MRPL34,Mitochondria
Q9BQ67,GRWD1,Nucleus
Q9BQ70,TCF25,Nucleus
Q9BQC6,MRPL57,Mitochondria
Q9BQE4,VIMP,Cytosol
Q9BRK5,SDF4,Golgi
Q9BRQ6,CHCHD6,Mitochondria
Q9BRZ2,TRIM56,Cytosol
Q9BS40,LXN,Cytosol
Q9BSR8,YIPF4,Golgi
Q9BT09,CNPY3,ER
Q9BT40,INPP5K,ER
Q9BTT6,LRRC1,Cytosol
Q9BUE6,ISCA1,Mitochondria
Q9BUF5,TUBB6,Dense cytosol
Q9BUJ2,HNRNPUL1,Nucleus
Q9BUK0,CHCHD7,Mitochondria
Q9BUK6,MSTO1,Mitochondria
Q9BUM1,G6PC3,ER
Q9BUN8,DERL1,ER
Q9BV23,ABHD6,Mitochondria
Q9BV35,SLC25A23,Mitochondria
Q9BVC4,MLST8,Cytosol
Q9BVK2,ALG8,ER
Q9BVS5,TRMT61B,Mitochondria
Q9BVV7,TIMM21,Mitochondria
Q9BVX2,TMEM106C,ER
Q9BW60,ELOVL1,ER
Q9BWJ5,SF3B5,Nucleus
Q9BWM7,SFXN3,Mitochondria
Q9BX68,HINT2,Mitochondria
Q9BX95,SGPP1,ER
Q9BY49,PECR,Peroxisome
Q9BY50,SEC11C,ER
Q9BY67,CADM1,Plasma membrane
Q9BYC5,FUT8,Golgi
Q9BYC9,MRPL20,Mitochondria
Q9BYD6,MRPL1,Mitochondria
Q9BYG4,PARD6G,Plasma membrane
Q9BYK8,HELZ2,Nucleus
Q9BYN0,SRXN1,Cytosol
Q9BYX2,TBC1D2,Cytosol
Q9BZE4,GTPBP4,Nucleus
Q9BZL1,UBL5,Dense cytosol
Q9BZQ6,EDEM3,ER
Q9C035,TRIM5,Cytosol
Q9C0D5,TANC1,Plasma membrane
Q9C0I1,MTMR12,Cytosol
Q9GZP9,DERL2,ER
Q9GZT6,CCDC90B,Mitochondria
Q9GZZ1,NAA50,Cytosol
Q9H074,PAIP1,Cytosol
Q9H0A0,NAT10,Nucleus
Q9H0B6,KLC2,Cytosol
Q9H0C8,ILKAP,Cytosol
Q9H0L4,CSTF2T,Nucleus
Q9H0R6,QRSL1,Mitochondria
Q9H0U9,TSPYL1,Nucleus
Q9H173,SIL1,ER
Q9H1U9,SLC25A51,Mitochondria
Q9H2K0,MTIF3,Mitochondria
Q9H2U2,PPA2,Mitochondria
Q9H300,PARL,Mitochondria
Q9H3F6,KCTD10,Nucleus
Q9H425,C1orf198,Cytosol
Q9H490,PIGU,ER
Q9H4B0,OSGEPL1,Mitochondria
Q9H4E5,RHOJ,Plasma membrane
Q9H583,HEATR1,Nucleus
Q9H5K3,POMK,ER
Q9H5V8,CDCP1,Plasma membrane
Q9H6F2,TMEM38A,Nucleus
Q9H6K4,OPA3,Mitochondria
Q9H788,SH2D4A,Cytosol
Q9H792,PEAK1,Cytosol
Q9H7C4,SYNC,Cytosol
Q9H7D7,WDR26,Dense cytosol
Q9H7H0,METTL17,Mitochondria
Q9H7M9,C10orf54,Plasma membrane
Q9H845,ACAD9,Mitochondria
Q9H8M1,COQ10B,Mitochondria
Q9H8M5,CNNM2,Plasma membrane
Q9H8P0,SRD5A3,ER
Q9H936,SLC25A22,Mitochondria
Q9H9B4,SFXN1,Mitochondria
Q9H9C1,VIPAS39,Cytosol
Q9H9E3,COG4,Golgi
Q9H9S3,SEC61A2,ER
Q9HA77,CARS2,Mitochondria
Q9HA92,RSAD1,Mitochondria
Q9HAT2,SIAE,Lysosome
Q9HAU5,UPF2,Cytosol
Q9HBH1,PDF,Mitochondria
Q9HC07,TMEM165,Golgi
Q9HC35,EML4,Cytosol
Q9HCC0,MCCC2,Mitochondria
Q9HCL2,GPAM,Mitochondria
Q9HD20,ATP13A1,ER
Q9HD23,MRS2,Mitochondria
Q9NP81,SARS2,Mitochondria
Q9NQ50,MRPL40,Mitochondria
Q9NQT8,KIF13B,Cytosol
Q9NQZ5,STARD7,Mitochondria
Q9NR12,PDLIM7,Dense cytosol
Q9NR28,DIABLO,Mitochondria
Q9NR30,DDX21,Nucleus
Q9NR46,SH3GLB2,Cytosol
Q9NRB3,CHST12,Golgi
Q9NRG9,AAAS,Nucleus
Q9NRN7,AASDHPPT,Cytosol
Q9NRP2,CMC2,Mitochondria
Q9NRP4,SDHAF3,Mitochondria
Q9NRX2,MRPL17,Mitochondria
Q9NRX4,PHPT1,Cytosol
Q9NSD9,FARSB,Dense cytosol
Q9NSE4,IARS2,Mitochondria
Q9NTG7,SIRT3,Mitochondria
Q9NTX5,ECHDC1,Cytosol
Q9NUI1,DECR2,Peroxisome
Q9NUJ1,ABHD10,Mitochondria
Q9NUN5,LMBRD1,Lysosome
Q9NUP9,LIN7C,Plasma membrane
Q9NUT2,ABCB8,Mitochondria
Q9NVA1,UQCC1,Mitochondria
Q9NVE7,PANK4,Cytosol
Q9NVP1,DDX18,Nucleus
Q9NVS2,MRPS18A,Mitochondria
Q9NVV0,TMEM38B,ER
Q9NWM8,FKBP14,ER
Q9NWQ8,PAG1,Plasma membrane
Q9NWR8,CCDC109B,Mitochondria
Q9NWS8,RMND1,Mitochondria
Q9NWU2,GID8,Nucleus
Q9NWU5,MRPL22,Mitochondria
Q9NWX5,ASB6,Cytosol
Q9NX14,NDUFB11,Mitochondria
Q9NX18,SDHAF2,Mitochondria
Q9NX20,MRPL16,Mitochondria
Q9NX62,IMPAD1,Golgi
Q9NXG6,P4HTM,ER
Q9NXS2,QPCTL,Golgi
Q9NY64,SLC2A8,Plasma membrane
Q9NYB9,ABI2,Cytosol
Q9NYU1,UGGT2,ER
Q9NYU2,UGGT1,ER
Q9NZ08,ERAP1,ER
Q9NZH0,GPRC5B,Plasma membrane
Q9NZJ6,COQ3,Mitochondria
Q9NZN3,EHD3,Cytosol
Q9NZN5,ARHGEF12,Cytosol
Q9NZR1,TMOD2,Cytosol
Q9NZV1,CRIM1,Plasma membrane
Q9NZV5,SEPN1,ER
Q9P000,COMMD9,Nucleus
Q9P015,MRPL15,Mitochondria
Q9P032,NDUFAF4,Mitochondria
Q9P0J1,PDP1,Mitochondria
Q9P0M9,MRPL27,Mitochondria
Q9P0S2,COX16,Mitochondria
Q9P0U1,TOMM7,Mitochondria
Q9P0V9,SEP10,Cytosol
Q9P246,STIM2,ER
Q9P2B4,CTTNBP2NL,Cytosol
Q9P2J5,LARS,Dense cytosol
Q9P2J9,PDP2,Mitochondria
Q9UBB4,ATXN10,Cytosol
Q9UBI6,GNG12,Plasma membrane
Q9UBQ6,EXTL2,ER
Q9UBS3,DNAJB9,ER
Q9UBS4,DNAJB11,ER
Q9UBV2,SEL1L,ER
Q9UBV8,PEF1,Dense cytosol
Q9UDR5,AASS,Mitochondria
Q9UDX5,MTFP1,Mitochondria
Q9UGQ3,SLC2A6,Plasma membrane
Q9UI08,EVL,Cytosol
Q9UI43,FTSJ2,Mitochondria
Q9UIA9,XPO7,Nucleus
Q9UIG0,BAZ1B,Nucleus
Q9UII2,ATPIF1,Mitochondria
Q9UIJ7,AK3,Mitochondria
Q9UJS0,SLC25A13,Mitochondria
Q9UJW0,DCTN4,Cytosol
Q9UKG9,CROT,Peroxisome
Q9UKI2,CDC42EP3,Cytosol
Q9UKM9,RALY,Nucleus
Q9UKV5,AMFR,ER
Q9UKY7,CDV3,Cytosol
Q9UL12,SARDH,Mitochondria
Q9ULC4,MCTS1,Cytosol
Q9ULH1,ASAP1,Cytosol
Q9UN70,PCDHGC3,Plasma membrane
Q9UN71,PCDHGB4,Plasma membrane
Q9UNW1,MINPP1,ER
Q9UP38,FZD1,Plasma membrane
Q9UPT6,MAPK8IP3,Cytosol
Q9UPY8,MAPRE3,Cytosol
Q9UQ03,CORO2B,Cytosol
Q9UQ53,MGAT4B,Golgi
Q9UQ90,SPG7,Mitochondria
Q9Y223,GNE,Cytosol
