Table S2F. Relative protein abundance across organelle fractions collected by density gradient separation and quantified using TMT. Samples are mock infected cells at 24hpi.,,,,,,,,
,,,Organelle fraction,,,,,
O00461,GOLIM4,Homo sapiens (Human),0.156668205,0.82523483,1,0.333306288,0.190078935,0
O00462,MANBA,Homo sapiens (Human),0.245805472,1,0.912043845,0.293322101,0.164759173,0
O00469,PLOD2,Homo sapiens (Human),0.133813778,0.689259465,1,0.388089909,0.228826409,0
O00471,EXOC5,Homo sapiens (Human),1,0.960690832,0.441500337,0.184664367,0.107263501,0
O00483,NDUFA4,Homo sapiens (Human),0,0.113107241,0.784865841,1,0.548852156,0.03869986
O00499,BIN1,Homo sapiens (Human),0.855395967,1,0.403331649,0.177511392,0.066879532,0
O00505,KPNA3,Homo sapiens (Human),0.7526918,1,0.401772654,0.185416815,0.061482891,0
O00506,STK25,Homo sapiens (Human),0.970441268,1,0.396246221,0.193989817,0.100316577,0
O00534,VWA5A,Homo sapiens (Human),0.716130684,1,0.416368687,0.171529386,0.096432548,0
O00560,SDCBP,Homo sapiens (Human),0.36866773,1,0.686237409,0.176972207,0.109854415,0
O00584,RNASET2,Homo sapiens (Human),0.226764822,1,0.968996967,0.315401482,0.129681481,0
O00622,CYR61,Homo sapiens (Human),0.347452008,1,0.524013526,0.21014071,0.223944285,0
O00746,NME4,Homo sapiens (Human),0.064115973,0.375567608,0.711371547,1,0.705924705,0
O00754,MAN2B1,Homo sapiens (Human),0.267670394,1,0.955839042,0.343152799,0.213400803,0
O00767,SCD,Homo sapiens (Human),0.344600997,1,0.999312639,0.414898909,0.182915524,0
O14494,PLPP1,Homo sapiens (Human),0.620525543,1,0.769265077,0.228045993,0.087883281,0
O14495,PLPP3,Homo sapiens (Human),0.732031852,1,0.673412213,0.194432099,0.180817726,0
O14548,COX7A2L,Homo sapiens (Human),0.011426232,0.191074578,0.647405875,1,0.643875739,0
O14558,HSPB6,Homo sapiens (Human),0.822994048,1,0.463161733,0.292764143,0.223163542,0
O14561,NDUFAB1,Homo sapiens (Human),0,0.128940333,0.817657657,1,0.410617657,0.002801999
O14569,CYB561D2,Homo sapiens (Human),0.632501559,1,0.729415905,0.317557832,0.235414009,0
O14617,AP3D1,Homo sapiens (Human),0.76305464,1,0.691193984,0.305176479,0.091671321,0
O14653,GOSR2,Homo sapiens (Human),0.368904808,1,0.997849554,0.451598534,0.261586729,0
O14656,TOR1A,Homo sapiens (Human),0.293953739,1,0.819648632,0.259652354,0.159468285,0
O14657,TOR1B,Homo sapiens (Human),0.262243306,1,0.760933507,0.320579008,0.261212831,0
O14662,STX16,Homo sapiens (Human),0.446125604,1,0.674664838,0.208940767,0.146142531,0
O14672,ADAM10,Homo sapiens (Human),0.478663976,0.989080181,1,0.413641798,0.352173685,0
O14681,EI24,Homo sapiens (Human),0.147464631,0.67417681,1,0.401734119,0.247054555,0
O14683,TP53I11,Homo sapiens (Human),0.756370032,1,0.414803965,0.218641296,0.112487375,0
O14734,ACOT8,Homo sapiens (Human),0.266369501,0.895731706,0.929207152,0.973430016,1,0
O14735,CDIPT,Homo sapiens (Human),0.423001052,1,0.814671635,0.284382977,0.322884375,0
O14737,PDCD5,Homo sapiens (Human),0.87339294,1,0.438640142,0.204828555,0.126344077,0
O14763,TNFRSF10B,Homo sapiens (Human),0.691867064,1,0.54784942,0.193486506,0.182349257,0
O14773,TPP1,Homo sapiens (Human),0.287811704,1,0.981232045,0.432750161,0.226113696,0
O14786,NRP1,Homo sapiens (Human),0.629074626,1,0.548158433,0.167908553,0.033035237,0
O14817,TSPAN4,Homo sapiens (Human),0.934719273,1,0.389529326,0.168201733,0.083798272,0
O14818,PSMA7,Homo sapiens (Human),0.649441025,1,0.370707768,0.18795902,0.125389565,0
O14828,SCAMP3,Homo sapiens (Human),0.409885017,1,0.552754552,0.176170512,0.116200541,0
O14832,PHYH,Homo sapiens (Human),0.357728005,0.697216584,0.832912074,0.694269529,1,0
O14874,BCKDK,Homo sapiens (Human),0.096558245,0.213303061,0.791372768,1,0.854201379,0
O14880,MGST3,Homo sapiens (Human),0,0.172935756,0.811679676,1,0.445505754,0.022076183
O14907,TAX1BP3,Homo sapiens (Human),0.8081459,1,0.263163441,0.112047741,0.070854186,0
O14908,GIPC1,Homo sapiens (Human),1,0.995049967,0.429420385,0.166282661,0.088964393,0
O14936,CASK,Homo sapiens (Human),1,0.923034783,0.464040594,0.181764722,0.097760097,0
O14949,UQCRQ,Homo sapiens (Human),0,0.087545433,0.636990984,1,0.322961884,0.02964775
P19105,MYL12A,Homo sapiens (Human),0.514550931,0.531911041,1,0.410748376,0.436300817,0
O14964,HGS,Homo sapiens (Human),0.81358118,1,0.318771096,0.130961812,0.088644456,0
O14974,PPP1R12A,Homo sapiens (Human),1,0.923472521,0.478824292,0.191395092,0.120770832,0
O14980,XPO1,Homo sapiens (Human),0.79525611,1,0.391471291,0.198406251,0.055817925,0
O15031,PLXNB2,Homo sapiens (Human),0.908484565,1,0.560669053,0.215415002,0.155875698,0
O15118,NPC1,Homo sapiens (Human),0.26801454,1,0.910724033,0.255360205,0.152866587,0
O15121,DEGS1,Homo sapiens (Human),0.426258369,1,0.974843062,0.396042959,0.259681818,0
O15126,SCAMP1,Homo sapiens (Human),0.429748095,1,0.551560752,0.186752051,0.101323638,0
O15127,SCAMP2,Homo sapiens (Human),0.408324149,1,0.557847996,0.202752502,0.102452245,0
O15143,ARPC1B,Homo sapiens (Human),1,0.96791865,0.414620713,0.202668277,0.103919466,0
O15144,ARPC2,Homo sapiens (Human),0.917318516,1,0.346401097,0.192422844,0.105490839,0
O15145,ARPC3,Homo sapiens (Human),1,0.976510441,0.326487549,0.19979066,0.093940647,0
O15155,BET1,Homo sapiens (Human),0.491708583,1,0.714416063,0.310990291,0.150683149,0
O15162,PLSCR1,Homo sapiens (Human),0.872927769,1,0.542575358,0.204190881,0.114170792,0
O15173,PGRMC2,Homo sapiens (Human),0.348507294,1,0.879013853,0.352764319,0.256605919,0
O15228,GNPAT,Homo sapiens (Human),0.21734136,0.556107718,0.855906821,1,0.872668421,0
O15235,MRPS12,Homo sapiens (Human),0.107664845,0.364830803,0.845003947,1,0.391713703,0
O15254,ACOX3,Homo sapiens (Human),0.303329429,0.693737826,1,0.982889734,0.80356509,0
O15258,RER1,Homo sapiens (Human),0.279461486,1,0.718890965,0.247453596,0.173584421,0
O15260,SURF4,Homo sapiens (Human),0.328844879,1,0.755113184,0.305178173,0.101150586,0
O15269,SPTLC1,Homo sapiens (Human),0.468890351,1,0.809589209,0.375309492,0.355724549,0
O15270,SPTLC2,Homo sapiens (Human),0.385087428,1,0.862801196,0.356700237,0.187726202,0
O15320,CTAGE5,Homo sapiens (Human),0.287545048,0.661341891,1,0.489680746,0.171459809,0
O15321,TM9SF1,Homo sapiens (Human),0.089155246,0.835852393,1,0.27851858,0.146424839,0
O15382,BCAT2,Homo sapiens (Human),0.057594945,0.317196614,0.877025625,1,0.486308402,0
O15400,STX7,Homo sapiens (Human),0.507024086,1,0.561599851,0.19580537,0.098292384,0
O15427,SLC16A3,Homo sapiens (Human),1,0.964444561,0.538574441,0.203379813,0.137055534,0
O15439,ABCC4,Homo sapiens (Human),0.900124424,1,0.699004164,0.271801807,0.175319532,0
O15460,P4HA2,Homo sapiens (Human),0.145579286,0.583835094,1,0.399234577,0.25157943,0
O15484,CAPN5,Homo sapiens (Human),1,0.993503706,0.498889304,0.221507833,0.154632987,0
O15498,YKT6,Homo sapiens (Human),0.660728476,1,0.380761624,0.160674764,0.091972053,0
O15511,ARPC5,Homo sapiens (Human),0.880117513,1,0.431238333,0.225303241,0.12003536,0
O15533,TAPBP,Homo sapiens (Human),0.326502017,1,0.845483364,0.306924053,0.459307887,0
O43157,PLXNB1,Homo sapiens (Human),0.882924297,1,0.63766875,0.311643114,0.156579192,0
O43169,CYB5B,Homo sapiens (Human),0.44266656,0.940073982,1,0.769104188,0.183632293,0
O43175,PHGDH,Homo sapiens (Human),0.843775063,1,0.298212881,0.153794665,0.15107098,0
O43242,PSMD3,Homo sapiens (Human),0.715278507,1,0.532722435,0.242219911,0.202532851,0
O43264,ZW10,Homo sapiens (Human),0.554747058,1,0.637692043,0.263507296,0.172597374,0
O43292,GPAA1,Homo sapiens (Human),0.23907302,1,0.995273716,0.392485634,0.335691763,0
O43293,DAPK3,Homo sapiens (Human),1,0.935341188,0.635860764,0.35682543,0.268119024,0
O43294,TGFB1I1,Homo sapiens (Human),1,0.933473338,0.330686255,0.159099795,0.114882769,0
O43396,TXNL1,Homo sapiens (Human),0.628822327,1,0.182261647,0.080850019,0.123412354,0
O43399,TPD52L2,Homo sapiens (Human),0.548225977,1,0.382299653,0.156239898,0.097178755,0
O43402,EMC8,Homo sapiens (Human),0.107896431,0.694569033,1,0.395729236,0.293755669,0
O43464,HTRA2,Homo sapiens (Human),0.071032025,0.274442344,0.941654682,1,0.876702359,0
O43491,#N/A,#N/A,1,0.941282727,0.484772872,0.172169791,0.075010522,0
O43491-4,#N/A,#N/A,0.80127773,1,0.371795736,0.086840395,0.004336662,0
O43493,TGOLN2,Homo sapiens (Human),0.187809617,1,0.753124582,0.248698888,0.12508003,0
O43504,LAMTOR5,Homo sapiens (Human),0.317724954,1,0.807885698,0.198454923,0.108780297,0
O43520,ATP8B1,Homo sapiens (Human),0.504276827,1,0.581554823,0.20556754,0.079099867,0
O43615,TIMM44,Homo sapiens (Human),0,0.131287494,0.779398058,1,0.630392959,0.03421538
O43617,TRAPPC3,Homo sapiens (Human),0.497313578,1,0.473221087,0.123896291,0.117161645,0
O43633,CHMP2A,Homo sapiens (Human),0.610178345,1,0.483681895,0.160811344,0.135792629,0
O43657,TSPAN6,Homo sapiens (Human),0.324844342,1,0.760445826,0.246268844,0.163344044,0
O43674,NDUFB5,Homo sapiens (Human),0,0.167160119,0.696774988,1,0.336508288,0.017935378
O43676,NDUFB3,Homo sapiens (Human),0,0.124957469,0.750841522,1,0.834040791,0.088231847
O43677,NDUFC1,Homo sapiens (Human),0,0.120597077,0.674840777,1,0.471059438,0.045879897
O43678,NDUFA2,Homo sapiens (Human),0,0.109306376,0.783900356,1,0.748930282,0.050493518
O43681,ASNA1,Homo sapiens (Human),0.827566981,1,0.293459693,0.126731872,0.119852881,0
O43707,ACTN4,Homo sapiens (Human),1,0.978469209,0.414369147,0.193194685,0.10489784,0
O43715,TRIAP1,Homo sapiens (Human),0.043719148,0.17617137,0.910928694,1,0.81633148,0
O43716,GATC,Homo sapiens (Human),0.119937056,0.289803752,0.800401789,1,0.979454969,0
O43747,AP1G1,Homo sapiens (Human),0.430781016,1,0.552782241,0.240459582,0.216476046,0
O43760,SYNGR2,Homo sapiens (Human),0.405997099,1,0.432423957,0.142563562,0.116232718,0
O43772,SLC25A20,Homo sapiens (Human),0.010619331,0.1976457,0.823608994,1,0.618270462,0
O43776,NARS,Homo sapiens (Human),0.797575633,1,0.421612906,0.166010734,0.119154255,0
O43795,MYO1B,Homo sapiens (Human),1,0.944072895,0.505271286,0.215921279,0.121505176,0
O43813,LANCL1,Homo sapiens (Human),0.816880607,1,0.447171928,0.189555957,0.170918295,0
O43819,SCO2,Homo sapiens (Human),0.067967174,0.168439881,0.817547549,1,0.598317565,0
O43824,GTPBP6,Homo sapiens (Human),0.434286278,0.765983554,0.973540627,1,0.492002356,0
O43837,IDH3B,Homo sapiens (Human),0.048112581,0.19126455,0.827779251,1,0.675192199,0
O43852,#N/A,#N/A,0.125675277,0.703802384,1,0.360043942,0.105583186,0
O43852-2,#N/A,#N/A,0.154872678,0.744383658,1,0.319834498,0.115010495,0
O43854,EDIL3,Homo sapiens (Human),0.23556996,1,0.748488911,0.219289736,0.115809101,0
O43865,AHCYL1,Homo sapiens (Human),1,0.968755629,0.357782339,0.151715157,0.080473149,0
O43920,NDUFS5,Homo sapiens (Human),0,0.103322071,0.613613618,1,0.677348797,0.064031176
O60220,TIMM8A,Homo sapiens (Human),0.015310488,0.1148531,0.834160337,1,0.345174066,0
O60245,PCDH7,Homo sapiens (Human),0.804278151,1,0.601397113,0.265962223,0.134028966,0
O60291,MGRN1,Homo sapiens (Human),0.60381442,1,0.525105711,0.241655925,0.264606086,0
O60427,FADS1,Homo sapiens (Human),0.50413965,1,0.772164386,0.409028174,0.267581722,0
O60476,MAN1A2,Homo sapiens (Human),0.102388898,0.712575696,1,0.285895638,0.092243112,0
O60488,ACSL4,Homo sapiens (Human),0.752310422,1,0.905850499,0.833461861,0.450435396,0
O60493,SNX3,Homo sapiens (Human),0.593427703,1,0.456643757,0.184059617,0.151386328,0
O60506,SYNCRIP,Homo sapiens (Human),0.707897632,1,0.704676524,0.346286837,0.261153473,0
O60507,TPST1,Homo sapiens (Human),0.163339567,0.92917922,1,0.301315278,0.165907232,0
O60518,RANBP6,Homo sapiens (Human),0.54001841,0.854523472,1,0.900752269,0.612467091,0
O60568,PLOD3,Homo sapiens (Human),0.093107783,0.526635076,1,0.393927907,0.313171244,0
O60613,42628,Homo sapiens (Human),0.183233627,0.809971445,1,0.367077977,0.221505624,0
O60637,TSPAN3,Homo sapiens (Human),0.262915294,1,0.696600787,0.183123184,0.177719934,0
O60645,EXOC3,Homo sapiens (Human),1,0.975674785,0.571644392,0.208560351,0.118481178,0
O60664,PLIN3,Homo sapiens (Human),0.764449342,1,0.276950645,0.10955529,0.092514928,0
O60701,UGDH,Homo sapiens (Human),0.78189192,1,0.300478194,0.144594188,0.094035838,0
O60716,CTNND1,Homo sapiens (Human),1,0.957299155,0.494646492,0.193537746,0.159729039,0
O60749,SNX2,Homo sapiens (Human),0.74693642,1,0.388583234,0.176857763,0.225784376,0
O60762,DPM1,Homo sapiens (Human),0.464817847,1,0.949198533,0.380946892,0.204479954,0
O60763,USO1,Homo sapiens (Human),0.972723218,1,0.266741712,0.17309568,0.129204183,0
O60784,TOM1,Homo sapiens (Human),0.67430914,1,0.371717926,0.154120969,0.157097555,0
O60831,PRAF2,Homo sapiens (Human),0.351766884,1,0.994297454,0.45303954,0.361672895,0
O60841,EIF5B,Homo sapiens (Human),0.691731423,1,0.535299679,0.260007993,0.150138376,0
O60884,DNAJA2,Homo sapiens (Human),0.617374502,1,0.44796967,0.208020983,0.209144505,0
O60888,CUTA,Homo sapiens (Human),0.655240726,1,0.761134229,0.605636938,0.335945847,0
O75027,ABCB7,Homo sapiens (Human),0,0.154800606,0.71731239,1,0.517921484,0.010365075
O75056,SDC3,Homo sapiens (Human),0.852862896,1,0.584542245,0.215668596,0.065857783,0
O75063,FAM20B,Homo sapiens (Human),0.171984186,0.864662147,1,0.485253684,0.285204081,0
O75083,WDR1,Homo sapiens (Human),0.783268568,1,0.315698107,0.141902067,0.093763174,0
O75110,ATP9A,Homo sapiens (Human),0.474251663,1,0.615084313,0.239515454,0.114296332,0
O75116,ROCK2,Homo sapiens (Human),0.934588331,1,0.461677712,0.224029538,0.17389597,0
O75131,CPNE3,Homo sapiens (Human),0.602083281,1,0.360309685,0.187036539,0.11995101,0
O75165,DNAJC13,Homo sapiens (Human),0.349553838,1,0.417354549,0.128866551,0.079269795,0
O75208,COQ9,Homo sapiens (Human),0.092147013,0.314364198,1,0.864739377,0.470840437,0
O75306,NDUFS2,Homo sapiens (Human),0,0.142260586,0.729480697,1,0.701931649,0.024489848
O75323,GBAS,Homo sapiens (Human),0.026695219,0.22258817,0.803678079,1,0.596780834,0
O75347,TBCA,Homo sapiens (Human),0.724308983,1,0.275386042,0.102990177,0.106577232,0
O75368,SH3BGRL,Homo sapiens (Human),0.50655566,1,0.268171542,0.123759158,0.084813402,0
O75369,FLNB,Homo sapiens (Human),1,0.7942949,0.489160032,0.237927125,0.144735069,0
O75380,NDUFS6,Homo sapiens (Human),0.027536194,0.181718479,0.818903801,1,0.490549227,0
O75381,PEX14,Homo sapiens (Human),0.14906223,0.515996348,0.785635308,1,0.917574335,0
O75390,CS,Homo sapiens (Human),0.016746609,0.157454265,0.818973618,1,0.541881981,0
O75396,SEC22B,Homo sapiens (Human),0.580827424,1,0.798515056,0.319591044,0.197183818,0
O75431,MTX2,Homo sapiens (Human),0.241272089,0.366264394,0.885408243,1,0.944202978,0
O75436,VPS26A,Homo sapiens (Human),0.701875504,1,0.355125283,0.140311785,0.160594385,0
O75438,NDUFB1,Homo sapiens (Human),0,0.141548061,0.755547647,1,0.683353298,0.073935358
O75439,PMPCB,Homo sapiens (Human),0,0.155266934,0.745397461,1,0.618807643,0.005044227
O75477,ERLIN1,Homo sapiens (Human),0.23809701,1,0.777567214,0.347671511,0.182517588,0
O75503,CLN5,Homo sapiens (Human),0.254159592,1,0.946379086,0.277076087,0.146369491,0
O75508,CLDN11,Homo sapiens (Human),0.63036653,1,0.484617216,0.129225578,0.064886856,0
O75521,ECI2,Homo sapiens (Human),0.093340012,0.35940535,0.885000691,1,0.685827937,0
O75531,BANF1,Homo sapiens (Human),0.036013225,0.468213612,1,0.753242687,0.710689812,0
O75534,CSDE1,Homo sapiens (Human),0.786280349,1,0.54327805,0.284474071,0.146406008,0
O75695,RP2,Homo sapiens (Human),1,0.898540383,0.466389705,0.18088074,0.128295213,0
O75718,CRTAP,Homo sapiens (Human),0.093635064,0.610410518,1,0.370539261,0.223936112,0
O75746,SLC25A12,Homo sapiens (Human),0,0.199375792,0.727399642,1,0.615693699,0.020043489
O75762,TRPA1,Homo sapiens (Human),0.744530025,1,0.573408489,0.225703204,0.143921761,0
O75781,PALM,Homo sapiens (Human),1,0.809679363,0.386570759,0.164861851,0.145404846,0
O75787,ATP6AP2,Homo sapiens (Human),0.35482888,1,0.705574523,0.21881546,0.09619789,0
O75844,ZMPSTE24,Homo sapiens (Human),0.554304695,1,0.803612968,0.252806038,0.150321508,0
O75874,IDH1,Homo sapiens (Human),0.638758131,1,0.311464797,0.148353224,0.127638717,0
O75879,GATB,Homo sapiens (Human),0.035604482,0.216624764,0.742162254,1,0.499686821,0
O75880,SCO1,Homo sapiens (Human),0.001713348,0.151686189,0.796086813,1,0.650540809,0
O75882,ATRN,Homo sapiens (Human),0.524000833,1,0.656946292,0.237899173,0.150500129,0
O75886,STAM2,Homo sapiens (Human),0.79657738,1,0.320093457,0.141656998,0.089024784,0
O75915,ARL6IP5,Homo sapiens (Human),0.279445878,1,0.94283624,0.34553375,0.326481489,0
O75935,DCTN3,Homo sapiens (Human),0.880980012,1,0.558248342,0.24757449,0.262015742,0
O75947,ATP5H,Homo sapiens (Human),0,0.121345661,0.759480956,1,0.607072154,0.0361964
O75955,FLOT1,Homo sapiens (Human),0.727592841,1,0.60802013,0.246961468,0.16879647,0
O75962,TRIO,Homo sapiens (Human),0.719585751,1,0.526166592,0.294439259,0.14697894,0
O75964,ATP5L,Homo sapiens (Human),0.028726143,0.214259424,0.848720712,1,0.750564596,0
O75970,MPDZ,Homo sapiens (Human),1,0.913684684,0.631551161,0.234705805,0.135146291,0
O75976,CPD,Homo sapiens (Human),0.196458403,1,0.810428973,0.286333609,0.182802615,0
O76024,WFS1,Homo sapiens (Human),0.135889042,0.713927963,1,0.388158972,0.286466337,0
O76031,CLPX,Homo sapiens (Human),0.028447862,0.158513881,0.739399922,1,0.494460163,0
O76074,PDE5A,Homo sapiens (Human),0.699373035,1,0.338303885,0.179482837,0.129125038,0
O76081,RGS20,Homo sapiens (Human),1,0.947099089,0.458235377,0.191313339,0.096650153,0
O94760,DDAH1,Homo sapiens (Human),0.772375403,1,0.313470889,0.13077117,0.061630987,0
O94766,B3GAT3,Homo sapiens (Human),0.485206776,1,0.898012624,0.244524976,0.182159467,0
O94804,STK10,Homo sapiens (Human),0.818588764,1,0.394375177,0.1912286,0.158961152,0
O94826,TOMM70A,Homo sapiens (Human),0.028312421,0.163814967,0.800106845,1,0.593007584,0
O94855,SEC24D,Homo sapiens (Human),0.849342192,1,0.393667571,0.209861355,0.067364921,0
O94874,UFL1,Homo sapiens (Human),0.340200281,0.66694662,1,0.459982699,0.144611657,0
O94905,ERLIN2,Homo sapiens (Human),0.263133381,1,0.797891695,0.361251339,0.221306658,0
O94923,GLCE,Homo sapiens (Human),0.109604269,0.830762954,1,0.270824635,0.217304439,0
O94925,#N/A,#N/A,0.151586292,0.327859683,0.731796787,1,0.445871349,0
O94925-3,#N/A,#N/A,0.02113619,0.109607351,0.773632934,1,0.344887727,0
O94955,RHOBTB3,Homo sapiens (Human),1,0.967048184,0.49656311,0.163483798,0.082592453,0
O94973,AP2A2,Homo sapiens (Human),0.726210599,1,0.777345066,0.302152354,0.213514699,0
O95139,NDUFB6,Homo sapiens (Human),0,0.124362644,0.734526048,1,0.620159984,0.03480922
O95140,MFN2,Homo sapiens (Human),0.028278424,0.238659913,0.873712366,1,0.639035675,0
O95159,ZFPL1,Homo sapiens (Human),0.234527798,1,0.74237604,0.281051826,0.16066432,0
O95168,NDUFB4,Homo sapiens (Human),0,0.245890719,0.754987364,1,0.930597742,0.009224385
O95169,NDUFB8,Homo sapiens (Human),0,0.128021877,0.782902416,1,0.625776491,0.04890183
O95183,VAMP5,Homo sapiens (Human),1,0.867408062,0.449127863,0.166863798,0.078049982,0
O95202,LETM1,Homo sapiens (Human),0,0.105776152,0.7227143,1,0.514774012,0.02400443
O95249,GOSR1,Homo sapiens (Human),0.220661799,0.939970178,1,0.264065036,0.112836926,0
O95292,VAPB,Homo sapiens (Human),0.728185298,1,0.538744652,0.442464119,0.283043251,0
O95297,MPZL1,Homo sapiens (Human),0.998093169,1,0.524490519,0.201605118,0.109793725,0
E9PQ53,NDUFC2-KCTD14,Homo sapiens (Human),0.016332638,0.189314992,0.749541492,1,0.738665122,0
O95299,NDUFA10,Homo sapiens (Human),0,0.127284541,0.771921083,1,0.477154635,0.020305025
O95302,FKBP9,Homo sapiens (Human),0.114495548,0.651323846,1,0.370765142,0.224487816,0
O95336,PGLS,Homo sapiens (Human),0.607204765,1,0.498193847,0.190039344,0.202174786,0
O95340,PAPSS2,Homo sapiens (Human),0.702424718,1,0.359851377,0.146583199,0.117311026,0
O95372,LYPLA2,Homo sapiens (Human),0.718663154,1,0.517409939,0.215362541,0.131726404,0
O95373,IPO7,Homo sapiens (Human),0.790235538,1,0.423425838,0.210028593,0.102443948,0
O95425,SVIL,Homo sapiens (Human),0.871053889,1,0.616739273,0.291146536,0.237068397,0
O95433,AHSA1,Homo sapiens (Human),0.69479738,1,0.60398047,0.247364436,0.191807595,0
O95470,SGPL1,Homo sapiens (Human),0.433413132,0.952559084,1,0.495231333,0.277257552,0
O95477,ABCA1,Homo sapiens (Human),0.684280452,1,0.6412955,0.246569424,0.070803826,0
O95479,H6PD,Homo sapiens (Human),0.224017978,0.877602327,1,0.343883406,0.225700121,0
O95563,MPC2,Homo sapiens (Human),0,0.138920775,0.829381676,1,0.301981255,0.044081529
O95571,ETHE1,Homo sapiens (Human),0.057735583,0.250168499,0.869023001,1,0.65903542,0
O95573,ACSL3,Homo sapiens (Human),0.448019197,1,0.891773976,0.420669569,0.298237794,0
O95671,ASMTL,Homo sapiens (Human),0.031426616,0.183063498,0.748641884,1,0.853943934,0
O95721,SNAP29,Homo sapiens (Human),0.816963277,1,0.508723362,0.186400142,0.101155757,0
O95772,STARD3NL,Homo sapiens (Human),0.326296558,1,0.737221575,0.186006633,0.159795519,0
O95782,AP2A1,Homo sapiens (Human),0.712253075,1,0.767855665,0.296064403,0.178155585,0
O95810,SDPR,Homo sapiens (Human),0.781564721,1,0.961966758,0.235418769,0.07070744,0
O95816,BAG2,Homo sapiens (Human),0.138368435,0.864383372,1,0.544178293,0.486363787,0
O95817,BAG3,Homo sapiens (Human),0.898647165,1,0.37895895,0.17123072,0.159458832,0
O95822,MLYCD,Homo sapiens (Human),0.147603835,0.386422612,0.820396368,1,0.444144465,0
O95831,AIFM1,Homo sapiens (Human),0,0.114906141,0.716591806,1,0.499149607,0.024550161
O95864,FADS2,Homo sapiens (Human),0.303535103,0.882476358,1,0.36107459,0.180668232,0
O95865,DDAH2,Homo sapiens (Human),0.801894184,1,0.268174741,0.09231491,0.090635291,0
O95881,TXNDC12,Homo sapiens (Human),0.208833663,0.95927342,1,0.362572025,0.263938666,0
O95980,RECK,Homo sapiens (Human),1,0.95625161,0.515336982,0.210040997,0.170653664,0
O96000,NDUFB10,Homo sapiens (Human),0,0.110540533,0.724854872,1,0.752338436,0.055973486
O96005,CLPTM1,Homo sapiens (Human),0.285883392,1,0.945728801,0.415961205,0.206067659,0
O96008,TOMM40,Homo sapiens (Human),0,0.165895983,0.712076202,1,0.620867488,0.065563028
O96011,PEX11B,Homo sapiens (Human),0.195207762,0.64739765,0.907582662,1,0.676210695,0
