Table S2I. Relative protein abundance across organelle fractions collected by density gradient separation and quantified using TMT. Samples are mock infected cells at 96hpi.,,,,,,,,
,,,Organelle fraction,,,,,
O00291,HIP1,Homo sapiens (Human),1,0.62746037,0.44812315,0.356977344,0.117139565,0
O00299,CLIC1,Homo sapiens (Human),1,0.618186844,0.192414224,0.090946014,0.054291594,0
O00330,PDHX,Homo sapiens (Human),0.066176309,0.129964744,0.207264724,1,0.182699063,0
O00391,QSOX1,Homo sapiens (Human),0.679283782,1,0.441236706,0.24911879,0.081412997,0
O00410,IPO5,Homo sapiens (Human),0.675022292,0.354466084,0.295376417,1,0.272952147,0
O00461,GOLIM4,Homo sapiens (Human),0.530487733,1,0.435839606,0.224616501,0.091879501,0
O00462,MANBA,Homo sapiens (Human),0.379784968,1,0.573765238,0.496130381,0.142920438,0
O00469,PLOD2,Homo sapiens (Human),0.497382659,1,0.528363922,0.502165125,0.139749272,0
O00471,EXOC5,Homo sapiens (Human),1,0.324582915,0.160170564,0.105735408,0.031630716,0
O00483,NDUFA4,Homo sapiens (Human),0,0.058341857,0.301903435,1,0.29120349,0.026189056
O00499,BIN1,Homo sapiens (Human),1,0.532807911,0.109597985,0.184527966,0.047394447,0
O00560,SDCBP,Homo sapiens (Human),0.741383244,1,0.302268028,0.276649654,0.125722308,0
O00584,RNASET2,Homo sapiens (Human),0.318997773,0.876772739,0.657427639,1,0.308605502,0
O00622,CYR61,Homo sapiens (Human),0.403187514,1,0.803529297,0.628752149,0.199668942,0
O00629,KPNA4,Homo sapiens (Human),1,0.417545702,0.270342783,0.440295596,0.14728902,0
O00746,NME4,Homo sapiens (Human),0.121370404,0.184404715,0.217930488,1,0.194435687,0
O00748,CES2,Homo sapiens (Human),0.422228791,1,0.443889982,0.390270931,0.069117802,0
O00754,MAN2B1,Homo sapiens (Human),0.310792177,1,0.647167269,0.777788047,0.258532669,0
O14494,PLPP1,Homo sapiens (Human),1,0.597873433,0.498845254,0.243391103,0.087133156,0
O14495,PLPP3,Homo sapiens (Human),1,0.60560622,0.322083898,0.153198009,0.068158903,0
O14656,TOR1A,Homo sapiens (Human),0.736486032,1,0.385187467,0.307088144,0.119990403,0
O14672,ADAM10,Homo sapiens (Human),1,0.947827619,0.515923591,0.426850746,0.130670056,0
O14683,TP53I11,Homo sapiens (Human),1,0.649883089,0.26837536,0.592559929,0.23726177,0
O14745,SLC9A3R1,Homo sapiens (Human),1,0.398806695,0.079417796,0.138787069,0.038593743,0
O14763,TNFRSF10B,Homo sapiens (Human),1,0.466526349,0.186383572,0.15928546,0.052033205,0
O14773,TPP1,Homo sapiens (Human),0.270138283,1,0.794976545,0.759040696,0.288576169,0
O14817,TSPAN4,Homo sapiens (Human),1,0.497932837,0.231303656,0.147315288,0.053377962,0
O14818,PSMA7,Homo sapiens (Human),1,0.585953352,0.174468118,0.188634494,0.100343788,0
O14828,SCAMP3,Homo sapiens (Human),0.960855253,1,0.384957631,0.244865148,0.120619178,0
O14880,MGST3,Homo sapiens (Human),0.019014499,0.134918589,0.242220733,1,0.196202899,0
O14908,GIPC1,Homo sapiens (Human),1,0.378499007,0.118032192,0.097584975,0.037116417,0
O14910,LIN7A,Homo sapiens (Human),1,0.425165265,0.262081743,0.308739236,0.103354044,0
O14936,CASK,Homo sapiens (Human),1,0.481273882,0.204073365,0.15921966,0.051700976,0
O14949,UQCRQ,Homo sapiens (Human),0,0.058183182,0.202607566,1,0.227599558,0.015732889
P19105,MYL12A,Homo sapiens (Human),1,0.535928868,0.494242844,0.297152027,0.098082952,0
O14964,HGS,Homo sapiens (Human),1,0.450270221,0.131147197,0.094445925,0.036629917,0
O14974,PPP1R12A,Homo sapiens (Human),1,0.334000612,0.100062092,0.058201939,0.019610715,0
O14980,XPO1,Homo sapiens (Human),1,0.740488108,0.204827848,0.246403718,0.127968371,0
O15091,KIAA0391,Homo sapiens (Human),0,0.066034399,0.277861467,1,0.260390608,0.01274647
O15118,NPC1,Homo sapiens (Human),0.523417921,1,0.581538897,0.402904692,0.176705669,0
O15127,SCAMP2,Homo sapiens (Human),1,0.857855079,0.27337524,0.201887985,0.092819067,0
O15143,ARPC1B,Homo sapiens (Human),1,0.474101599,0.145615937,0.181168589,0.071623386,0
O15144,ARPC2,Homo sapiens (Human),1,0.468588206,0.159596382,0.12620033,0.063582384,0
O15145,ARPC3,Homo sapiens (Human),1,0.404969108,0.173754337,0.105446291,0.051001813,0
O15173,PGRMC2,Homo sapiens (Human),0.858773414,1,0.413277119,0.422538261,0.135984161,0
O15228,GNPAT,Homo sapiens (Human),0.295657036,0.271966752,0.251171383,1,0.667566304,0
O15254,ACOX3,Homo sapiens (Human),0.086053615,0.16033657,0.297108246,1,0.752192309,0
O15260,SURF4,Homo sapiens (Human),0.777988173,1,0.438673216,0.31313713,0.105896486,0
O15269,SPTLC1,Homo sapiens (Human),0.895431991,1,0.276621404,0.398768793,0.136926128,0
O15321,TM9SF1,Homo sapiens (Human),0.368816803,1,0.363073136,0.17425525,0.056736988,0
O15382,BCAT2,Homo sapiens (Human),0.160889908,0.211210145,0.286720032,1,0.178423714,0
O15400,STX7,Homo sapiens (Human),1,0.942006991,0.546278501,0.260898328,0.131157224,0
O15439,ABCC4,Homo sapiens (Human),1,0.607300813,0.309378221,0.162429281,0.081629167,0
O15460,P4HA2,Homo sapiens (Human),0.394079073,1,0.647121571,0.60931274,0.169622721,0
O15484,CAPN5,Homo sapiens (Human),1,0.453758592,0.200673384,0.165067036,0.061277391,0
O15498,YKT6,Homo sapiens (Human),1,0.695536987,0.20919015,0.143805904,0.061211086,0
O15511,ARPC5,Homo sapiens (Human),1,0.466361236,0.179944282,0.199618078,0.05909086,0
O15533,TAPBP,Homo sapiens (Human),0.643950211,1,0.366922485,0.465032984,0.143667804,0
O43169,CYB5B,Homo sapiens (Human),0.62340589,0.57923183,0.477272751,1,0.296928398,0
O43175,PHGDH,Homo sapiens (Human),1,0.626220954,0.17391469,0.182645951,0.098114669,0
O43181,NDUFS4,Homo sapiens (Human),0.025160542,0.068635268,0.220872011,1,0.247265367,0
O43399,TPD52L2,Homo sapiens (Human),0.976655781,1,0.290833022,0.158093652,0.063270092,0
O43402,EMC8,Homo sapiens (Human),0.646877625,1,0.493089428,0.561586563,0.169543851,0
O43464,HTRA2,Homo sapiens (Human),0.140494006,0.159441044,0.272737751,1,0.214577806,0
O43488,AKR7A2,Homo sapiens (Human),0.465912077,0.297832718,0.292427194,1,0.230374556,0
O43491,#N/A,#N/A,1,0.366260123,0.101721152,0.078010514,0.02996532,0
O43493,TGOLN2,Homo sapiens (Human),0.963330994,1,0.31421516,0.077767723,0.015257892,0
O43556,SGCE,Homo sapiens (Human),1,0.346147394,0.325658068,0.056519515,0.0502431,0
O43615,TIMM44,Homo sapiens (Human),0,0.069489711,0.226633498,1,0.218104914,0.004706984
O43617,TRAPPC3,Homo sapiens (Human),0.949763679,1,0.333875173,0.356496099,0.103837146,0
O43633,CHMP2A,Homo sapiens (Human),1,0.683397534,0.213759623,0.131870716,0.072869151,0
O43657,TSPAN6,Homo sapiens (Human),0.584402009,1,0.628201332,0.470105073,0.159674794,0
O43674,NDUFB5,Homo sapiens (Human),0,0.062908755,0.329396988,1,0.33803925,0.057700446
O43676,NDUFB3,Homo sapiens (Human),0,0.081776867,0.24308202,1,0.26393495,0.039830964
O43677,NDUFC1,Homo sapiens (Human),0.08667155,0.122996924,0.322891187,1,0.315865675,0
O43678,NDUFA2,Homo sapiens (Human),0,0.083518139,0.222501832,1,0.246319325,0.012410673
O43681,ASNA1,Homo sapiens (Human),1,0.590614966,0.105058565,0.137539885,0.063456385,0
O43707,ACTN4,Homo sapiens (Human),1,0.387034069,0.126107436,0.103135582,0.042486823,0
O43715,TRIAP1,Homo sapiens (Human),0,0.00216196,0.203108722,1,0.20778156,0.018176525
O43716,GATC,Homo sapiens (Human),0.155900307,0.152746487,0.169595504,1,0.201467176,0
O43747,AP1G1,Homo sapiens (Human),0.945429154,1,0.466504683,0.405421858,0.165466564,0
O43760,SYNGR2,Homo sapiens (Human),0.735009158,1,0.218631701,0.137307188,0.031680868,0
O43772,SLC25A20,Homo sapiens (Human),0.088073927,0.136855756,0.257926595,1,0.227838833,0
O43776,NARS,Homo sapiens (Human),1,0.483668091,0.157911169,0.152513208,0.068043269,0
O43795,MYO1B,Homo sapiens (Human),1,0.36767239,0.176195933,0.102366091,0.038728592,0
O43819,SCO2,Homo sapiens (Human),0.131628015,0.125490464,0.22681827,1,0.216040132,0
O43837,IDH3B,Homo sapiens (Human),0.031467998,0.073310149,0.265261139,1,0.208325866,0
O43852,#N/A,#N/A,0.544190181,1,0.710681363,0.405510068,0.097023196,0
O43852-2,#N/A,#N/A,0.537953805,1,0.71206505,0.350788313,0.112194003,0
O43854,EDIL3,Homo sapiens (Human),0.367777414,1,0.439744686,0.259151803,0.140376846,0
O60220,TIMM8A,Homo sapiens (Human),0.008949471,0.001608488,0.178944919,1,0.181656049,0
O60313,OPA1,Homo sapiens (Human),0,0.079251709,0.250383557,1,0.235608514,0.009356859
O60331,PIP5K1C,Homo sapiens (Human),1,0.35967449,0.113110359,0.078536899,0.04964467,0
O60476,MAN1A2,Homo sapiens (Human),0.357740414,1,0.420957658,0.108741307,0.039505324,0
O60488,ACSL4,Homo sapiens (Human),0.857932273,0.620466548,0.425122978,1,0.205516387,0
O60493,SNX3,Homo sapiens (Human),1,0.734211857,0.234783594,0.172827875,0.103304853,0
O60504,SORBS3,Homo sapiens (Human),1,0.390282669,0.086182706,0.06933472,0.022150026,0
O60506,SYNCRIP,Homo sapiens (Human),1,0.485216454,0.174337756,0.259842497,0.119612191,0
O60507,TPST1,Homo sapiens (Human),0.287606943,1,0.405584492,0.155329859,0.038143862,0
O60565,GREM1,Homo sapiens (Human),0.124429006,0.498606225,0.424477004,1,0.31694298,0
O60568,PLOD3,Homo sapiens (Human),0.329552228,1,0.579489884,0.575305369,0.160321415,0
O60637,TSPAN3,Homo sapiens (Human),0.504889369,1,0.290624649,0.275169539,0.086042387,0
O60645,EXOC3,Homo sapiens (Human),1,0.365943677,0.201354828,0.151687589,0.060702728,0
O60664,PLIN3,Homo sapiens (Human),1,0.558934456,0.118764877,0.117844608,0.043502595,0
O60669,SLC16A7,Homo sapiens (Human),1,0.453432007,0.072288227,0.038116431,0.020139316,0
O60701,UGDH,Homo sapiens (Human),1,0.596086432,0.126767234,0.137800578,0.057079171,0
O60716,CTNND1,Homo sapiens (Human),1,0.393429759,0.139269655,0.103118568,0.036664134,0
O60762,DPM1,Homo sapiens (Human),0.843361781,1,0.532861508,0.429318317,0.137757967,0
O60763,USO1,Homo sapiens (Human),1,0.44617607,0.097736474,0.15268445,0.045266063,0
O60783,MRPS14,Homo sapiens (Human),0.210793463,0.176118178,0.231435125,1,0.188951027,0
O60831,PRAF2,Homo sapiens (Human),0.671519317,1,0.215590701,0.210184539,0.07672876,0
O60841,EIF5B,Homo sapiens (Human),1,0.593385483,0.264930734,0.357085095,0.117859408,0
O60884,DNAJA2,Homo sapiens (Human),1,0.620241424,0.199226591,0.249274977,0.122879139,0
O75027,ABCB7,Homo sapiens (Human),0.092749896,0.125703112,0.274154853,1,0.261497329,0
O75056,SDC3,Homo sapiens (Human),1,0.334307216,0.16977851,0.087977038,0.018826714,0
O75083,WDR1,Homo sapiens (Human),1,0.50928519,0.151977398,0.108483264,0.062871795,0
O75110,ATP9A,Homo sapiens (Human),0.813995078,1,0.481101764,0.250403901,0.102243302,0
O75116,ROCK2,Homo sapiens (Human),1,0.458908935,0.177261696,0.130898562,0.042252697,0
O75165,DNAJC13,Homo sapiens (Human),0.511615423,1,0.3993132,0.181779516,0.066508161,0
O75208,COQ9,Homo sapiens (Human),0.584579977,0.616425413,0.606880262,1,0.421282781,0
O75306,NDUFS2,Homo sapiens (Human),0,0.069629167,0.196106264,1,0.22553538,0.0032093
O75323,GBAS,Homo sapiens (Human),0.098373408,0.134685733,0.276813425,1,0.233334058,0
O75347,TBCA,Homo sapiens (Human),1,0.566638826,0.134184955,0.153090957,0.052513137,0
O75348,ATP6V1G1,Homo sapiens (Human),1,0.96737312,0.409130869,0.301696932,0.106324378,0
O75368,SH3BGRL,Homo sapiens (Human),1,0.618737679,0.210179935,0.127530037,0.039291639,0
O75369,FLNB,Homo sapiens (Human),1,0.366062524,0.170035104,0.132867774,0.04846696,0
O75380,NDUFS6,Homo sapiens (Human),0.006218412,0.052556113,0.226017435,1,0.224406104,0
O75381,PEX14,Homo sapiens (Human),0.168215778,0.313298761,0.374658511,1,0.896091547,0
O75390,CS,Homo sapiens (Human),0,0.061134621,0.263645617,1,0.196566807,0.006077031
O75394,MRPL33,Homo sapiens (Human),0.480966428,0.420096875,0.393798714,1,0.139997054,0
O75396,SEC22B,Homo sapiens (Human),1,0.721015698,0.18240857,0.120416428,0.057260741,0
O75431,MTX2,Homo sapiens (Human),0.040181267,0.059915378,0.190154248,1,0.201749335,0
O75438,NDUFB1,Homo sapiens (Human),0,0.059976915,0.240390274,1,0.274966529,0.029778049
O75489,NDUFS3,Homo sapiens (Human),0,0.052433371,0.201412545,1,0.238122017,0.012670033
O75503,CLN5,Homo sapiens (Human),0.379589662,0.972048906,1,0.662032019,0.271896832,0
O75508,CLDN11,Homo sapiens (Human),1,0.642769286,0.377587792,0.143520837,0.065618765,0
O75521,ECI2,Homo sapiens (Human),0.09545105,0.105836742,0.261494567,1,0.424687612,0
O75531,BANF1,Homo sapiens (Human),1,0.758370473,0.864379176,0.803437727,0.761747668,0
O75695,RP2,Homo sapiens (Human),1,0.398191245,0.16591241,0.082195,0.035849039,0
O75718,CRTAP,Homo sapiens (Human),0.370326659,1,0.653608294,0.561379402,0.154872912,0
O75746,SLC25A12,Homo sapiens (Human),0.001874201,0.063942533,0.227740565,1,0.215213598,0
O75762,TRPA1,Homo sapiens (Human),1,0.622962818,0.323580251,0.188629458,0.076536612,0
O75781,PALM,Homo sapiens (Human),1,0.348595252,0.079592168,0.057934328,0.0232039,0
O75844,ZMPSTE24,Homo sapiens (Human),1,0.867031812,0.425178384,0.284516339,0.117434522,0
O75874,IDH1,Homo sapiens (Human),1,0.560557793,0.172910729,0.221554038,0.137214876,0
O75880,SCO1,Homo sapiens (Human),0.032300845,0.071062701,0.239257812,1,0.203982447,0
O75915,ARL6IP5,Homo sapiens (Human),0.605273308,1,0.309691661,0.340893287,0.105948335,0
O75947,ATP5H,Homo sapiens (Human),0,0.067595713,0.294825147,1,0.302706969,0.028001493
O75955,FLOT1,Homo sapiens (Human),1,0.59958544,0.284643864,0.180692261,0.094307355,0
O75964,ATP5L,Homo sapiens (Human),0.076134434,0.077211362,0.187455955,1,0.302671898,0
O75976,CPD,Homo sapiens (Human),0.473753018,1,0.276721384,0.145960381,0.052540766,0
O76024,WFS1,Homo sapiens (Human),0.468170851,1,0.437292372,0.43291712,0.118191838,0
O94760,DDAH1,Homo sapiens (Human),1,0.578641671,0.10366946,0.111970506,0.042207451,0
O94766,B3GAT3,Homo sapiens (Human),0.386758185,1,0.334069726,0.117823098,0.044749603,0
O94826,TOMM70A,Homo sapiens (Human),0.008929826,0.089523273,0.272559006,1,0.212113715,0
O94905,ERLIN2,Homo sapiens (Human),0.752034231,1,0.483676566,0.341179295,0.135076897,0
O94919,ENDOD1,Homo sapiens (Human),0.908398386,1,0.161349948,0.228546234,0.061233528,0
O94925-3,#N/A,#N/A,0.003566098,0.06123459,0.375074365,1,0.228406585,0
O94973,AP2A2,Homo sapiens (Human),1,0.620210933,0.428241446,0.269957485,0.100336038,0
O95139,NDUFB6,Homo sapiens (Human),0,0.045268496,0.210240381,1,0.244378493,0.005062074
O95167,NDUFA3,Homo sapiens (Human),0,0.084662227,0.266654692,1,0.272635906,0.013085505
O95168,NDUFB4,Homo sapiens (Human),0.093603167,0.138921394,0.194924997,1,0.212824702,0
O95169,NDUFB8,Homo sapiens (Human),0.005642406,0.056550764,0.20503117,1,0.23921811,0
O95182,NDUFA7,Homo sapiens (Human),0.108067901,0.10426968,0.313253937,1,0.315952661,0
O95183,VAMP5,Homo sapiens (Human),1,0.355506958,0.131954172,0.061177632,0.036902973,0
O95202,LETM1,Homo sapiens (Human),0,0.068284504,0.250617421,1,0.234487267,0.007355363
O95292,VAPB,Homo sapiens (Human),1,0.525875482,0.253606104,0.284339035,0.122044288,0
O95297,MPZL1,Homo sapiens (Human),1,0.52843572,0.287540173,0.227200226,0.091049257,0
E9PQ53,NDUFC2-KCTD14,Homo sapiens (Human),0,0.078478854,0.217688917,1,0.265434879,0.011906558
O95299,NDUFA10,Homo sapiens (Human),0,0.057377345,0.26077268,1,0.257956449,0.025548832
O95302,FKBP9,Homo sapiens (Human),0.451632011,1,0.677378212,0.519256304,0.139055654,0
O95373,IPO7,Homo sapiens (Human),1,0.46955641,0.158675884,0.106660238,0.1095281,0
O95477,ABCA1,Homo sapiens (Human),1,0.649185254,0.423661545,0.360700168,0.179389832,0
O95479,H6PD,Homo sapiens (Human),0.469130107,1,0.407256564,0.4330549,0.098281092,0
O95562,SFT2D2,Homo sapiens (Human),1,0.623068667,0.122088914,0.078064526,0.034181706,0
O95571,ETHE1,Homo sapiens (Human),0.01297697,0.048875599,0.25498678,1,0.207844795,0
O95671,ASMTL,Homo sapiens (Human),0.082996102,0.065162558,0.152013303,1,0.237509353,0
O95721,SNAP29,Homo sapiens (Human),1,0.513332511,0.225143703,0.153343992,0.053581852,0
O95772,STARD3NL,Homo sapiens (Human),0.523347115,1,0.327296063,0.291638717,0.107293018,0
O95782,AP2A1,Homo sapiens (Human),1,0.672593571,0.38858465,0.270432072,0.091563111,0
O95810,SDPR,Homo sapiens (Human),1,0.536441022,0.524395119,0.230165552,0.093230275,0
O95816,BAG2,Homo sapiens (Human),0,0.467522068,0.482899656,1,0.507583449,0.038135573
O95822,MLYCD,Homo sapiens (Human),0.306591844,0.480961239,0.347004872,1,0.262445043,0
O95831,AIFM1,Homo sapiens (Human),0,0.06735515,0.248507171,1,0.23470512,0.00962305
O95865,DDAH2,Homo sapiens (Human),1,0.516269423,0.115836548,0.071971011,0.018556108,0
O95870,ABHD16A,Homo sapiens (Human),0.484586483,0.558085382,0.503504282,1,0.32830664,0
O95980,RECK,Homo sapiens (Human),1,0.426415734,0.208281088,0.113693701,0.044428998,0
O96000,NDUFB10,Homo sapiens (Human),0.051923053,0.083005952,0.242373367,1,0.231203188,0
O96005,CLPTM1,Homo sapiens (Human),0.866467534,1,0.575378191,0.403123779,0.150960983,0
O96008,TOMM40,Homo sapiens (Human),0,0.085033692,0.245128611,1,0.268689845,0.023094445
O96011,PEX11B,Homo sapiens (Human),0.222906909,0.266378269,0.399086082,1,0.867183431,0
P00167,CYB5A,Homo sapiens (Human),1,0.981068921,0.417661263,0.41913496,0.105328304,0
P00338,LDHA,Homo sapiens (Human),1,0.588085376,0.164309317,0.237415325,0.17238922,0
P00387,CYB5R3,Homo sapiens (Human),0.387376603,0.480381121,0.341688725,1,0.27304193,0
P00390,GSR,Homo sapiens (Human),0.573712245,0.504059143,0.299404107,1,0.18614734,0
P00403,MT-CO2,Homo sapiens (Human),0,0.062500529,0.200770621,1,0.235241328,0.025534429
P00441,SOD1,Homo sapiens (Human),0.634278182,1,0.470836808,0.338899654,0.116712451,0
P00505,GOT2,Homo sapiens (Human),0.000843757,0.04282124,0.2656579,1,0.211623199,0
P00533,EGFR,Homo sapiens (Human),1,0.529028735,0.197282499,0.162409945,0.050421839,0
P00558,PGK1,Homo sapiens (Human),1,0.587784717,0.159355353,0.147384883,0.069117231,0
P00749,PLAU,Homo sapiens (Human),0.437370996,1,0.554797143,0.307602644,0.09299753,0
P00750,PLAT,Homo sapiens (Human),0.607869524,1,0.804215048,0.566355885,0.202443602,0
P00813,ADA,Homo sapiens (Human),1,0.589886839,0.250108157,0.120491455,0.057895812,0
P01033,TIMP1,Homo sapiens (Human),0.510709339,1,0.402946881,0.354984111,0.077837254,0
P01034,CST3,Homo sapiens (Human),0.593046512,1,0.412810966,0.441978533,0.121882878,0
P01111,NRAS,Homo sapiens (Human),1,0.40224334,0.082877884,0.068744145,0.02434893,0
P01112,HRAS,Homo sapiens (Human),1,0.423842192,0.147593145,0.083902065,0.0416378,0
P01116,KRAS,Homo sapiens (Human),1,0.409239687,0.12053907,0.07457195,0.024502502,0
P01889,HLA-B,Homo sapiens (Human),1,0.449920095,0.192602237,0.093007951,0.035951995,0
P02452,COL1A1,Homo sapiens (Human),0.358456509,1,0.543155502,0.361505292,0.110475629,0
P02461,COL3A1,Homo sapiens (Human),0.986650225,1,0.807173223,0.585222776,0.225596845,0
P02462,COL4A1,Homo sapiens (Human),0.432843381,0.720062213,1,0.532260398,0.190846328,0
P02545,LMNA,Homo sapiens (Human),0.845358786,1,0.298303945,0.512256553,0.553898647,0
P02649,APOE,Homo sapiens (Human),0.481024663,1,0.477768193,0.465761635,0.119326631,0
P02751,FN1,Homo sapiens (Human),0.411348162,1,0.707234663,0.402280155,0.127094916,0
P02786,TFRC,Homo sapiens (Human),0.712146958,1,0.51266479,0.178496842,0.061482124,0
P02792,FTL,Homo sapiens (Human),0.57307685,1,0.411171555,0.30747266,0.115573912,0
P02794,FTH1,Homo sapiens (Human),0.568290479,1,0.439487163,0.305437539,0.129836861,0
P80297,MT1X,Homo sapiens (Human),1,0.445901101,0.281158352,0.36948176,0.116020523,0
P03897,MT-ND3,Homo sapiens (Human),0.07188609,0.050978891,0.221962904,1,0.247718241,0
P03928,MT-ATP8,Homo sapiens (Human),0.962333692,0.538070667,0.299043635,1,0.284439874,0
P04040,CAT,Homo sapiens (Human),0.145626702,0.171435965,0.289208087,1,0.654062963,0
P04062,GBA,Homo sapiens (Human),0.388640009,1,0.69329926,0.531373363,0.212573212,0
P04075,ALDOA,Homo sapiens (Human),1,0.54824956,0.141187534,0.112741158,0.054936277,0
P04083,ANXA1,Homo sapiens (Human),1,0.787686453,0.155564715,0.120312638,0.045026943,0
P04179,SOD2,Homo sapiens (Human),0.023331975,0.124799383,0.29445099,1,0.214190509,0
P04216,THY1,Homo sapiens (Human),1,0.447131749,0.279687933,0.156838879,0.0636062,0
P04264,KRT1,Homo sapiens (Human),0.375458687,0.066315152,0.204295827,0,0.771032407,1
P04406,GAPDH,Homo sapiens (Human),1,0.851775634,0.376745854,0.254309946,0.132796235,0
P04632,CAPNS1,Homo sapiens (Human),1,0.509838923,0.145250858,0.11997335,0.049359357,0
P04792,HSPB1,Homo sapiens (Human),1,0.5162707,0.134840576,0.116591775,0.074568318,0
P04843,RPN1,Homo sapiens (Human),0.499218502,1,0.702800331,0.605345486,0.199873479,0
P04844,RPN2,Homo sapiens (Human),0.375218746,1,0.554238501,0.490180969,0.135070689,0
P04899,GNAI2,Homo sapiens (Human),1,0.512237022,0.159902137,0.12987239,0.053203714,0
P04921,GYPC,Homo sapiens (Human),1,0.396386683,0.177379709,0.106057307,0.036940453,0
P05023,ATP1A1,Homo sapiens (Human),1,0.404340238,0.196389204,0.108592712,0.043594205,0
P05026,ATP1B1,Homo sapiens (Human),1,0.376754225,0.193818766,0.084823016,0.040034197,0
P05067,APP,Homo sapiens (Human),0.450440505,1,0.480384931,0.33156541,0.114929472,0
P05091,ALDH2,Homo sapiens (Human),0,0.064428843,0.214861965,1,0.199054527,0.016776118
P05106,ITGB3,Homo sapiens (Human),1,0.436779238,0.210287611,0.144253004,0.053579325,0
P05141,SLC25A5,Homo sapiens (Human),0,0.06400432,0.169880724,1,0.200095572,0.020772335
P05161,ISG15,Homo sapiens (Human),1,0.621149668,0.223567647,0.180643347,0.084463885,0
P05165,PCCA,Homo sapiens (Human),0.08504239,0.118021728,0.20850189,1,0.194219085,0
P05166,PCCB,Homo sapiens (Human),0.01124327,0.058386488,0.193330462,1,0.208550732,0
P05186,ALPL,Homo sapiens (Human),1,0.411850124,0.161387296,0.096015265,0.040047393,0
P05198,EIF2S1,Homo sapiens (Human),1,0.740732488,0.268871026,0.39053129,0.148796597,0
P05362,ICAM1,Homo sapiens (Human),1,0.417207471,0.15048917,0.169397137,0.032567835,0
P05387,RPLP2,Homo sapiens (Human),1,0.719722026,0.719904575,0.471621362,0.164946397,0
P05388,RPLP0,Homo sapiens (Human),1,0.788791476,0.73033637,0.497989306,0.207887669,0
P05556,ITGB1,Homo sapiens (Human),1,0.530140432,0.267178801,0.164773888,0.059137191,0
P05976,MYL1,Homo sapiens (Human),1,0.504045382,0.425130522,0.252625044,0.055971763,0
P06280,GLA,Homo sapiens (Human),0.361090448,1,0.671476181,0.852126729,0.24486819,0
P06396,GSN,Homo sapiens (Human),1,0.483936009,0.09482785,0.077202603,0.030339601,0
P06576,ATP5B,Homo sapiens (Human),0.01959364,0.072542797,0.190929473,1,0.216059857,0
P06703,S100A6,Homo sapiens (Human),1,0.806484558,0.136179567,0.128630779,0.060652726,0
P06733,ENO1,Homo sapiens (Human),1,0.584937936,0.145513431,0.088825506,0.044036952,0
P06744,GPI,Homo sapiens (Human),1,0.577141548,0.13043236,0.145891603,0.069717672,0
P06748,NPM1,Homo sapiens (Human),1,0.309909175,0.10386289,0.076316649,0.019822244,0
P06753,#N/A,#N/A,0.948546008,1,0.346726865,0.359942953,0.10743457,0
P06753-2,#N/A,#N/A,1,0.485679144,0.120410031,0.115362464,0.055612103,0
P06756,ITGAV,Homo sapiens (Human),1,0.455361001,0.216155071,0.113667306,0.046833781,0
P06865,HEXA,Homo sapiens (Human),0.342917879,1,0.724887779,0.802111071,0.268593316,0
P07099,EPHX1,Homo sapiens (Human),0.732850106,1,0.359162208,0.335452566,0.118524558,0
P07108,DBI,Homo sapiens (Human),1,0.646183617,0.215073399,0.279965476,0.090861307,0
